varnum,column,num_nulls,field_name,perc_missing,field_desc,in.out,hannah,fa.h,model,Reasoning,Notes
42,vb.voterbase_registration_status,0,VoterBase Voter Registration Status,0%,Indicates whether the individual is registered to vote or part of the unregistered voting age population,1,1,,,"binary ""registered"" ""unregistered""",
45,vb.voterbase_gender,0,VoterBase Gender,0%,"Multi-sourced gender code (voter file, or commercially-appended)",1,1,,,relevant,"need to change to binary. F = 44644, M = 131500, U = 4789"
79,gsyn.synth_hh_sum_dem_primary_votes_cast_count,0,Synthetics - Total Dem Pri Votes Cast in Household,0%,Total number of Democratic Primary Election votes cast in the household (unique tsmart address),1,1,,,,
80,gsyn.synth_hh_sum_rep_primary_votes_cast_count,0,Synthetics - Total Rep Pri Votes Cast in Household,0%,Total number of Republican Primary Election votes cast in the household (unique tsmart address),1,1,,,,
81,gsyn.synth_hh_sum_primary_votes_cast_count,0,Synthetics - Total Primary Votes Cast in Household,0%,Total number of Primary Election votes cast in the household (unique tsmart address),1,1,,,,
98,enh.tsmart_enhanced_hh_num_registered,0,TargetSmart Enhanced - Household Registered,0%,Indicates the number of registered voters in the household,1,1,,,,
99,enh.tsmart_enhanced_hh_num_unregistered,0,TargetSmart Enhanced - Household Unregistered,0%,Indicates the number of unregistered persons in the household,1,1,,,,
100,enh.tsmart_enhanced_hh_num_dems,0,TargetSmart Enhanced - Household Democrats,0%,Indicates the number of Democrats in the household,1,1,,,,
101,enh.tsmart_enhanced_hh_num_reps,0,TargetSmart Enhanced - Household Republicans,0%,Indicates the number of Republicans in the household,1,1,,,,
102,enh.tsmart_enhanced_hh_num_others,0,TargetSmart Enhanced - Household Others,0%,Indicates the number of people with a party affiliation other than Democrat or Republican in the household,1,1,,,,
410,ts.tsmart_partisan_score,0,TargetSmart National Partisan Model Score,0%,Predicts the likelihood that an individual supports the Democratic Party.  Scores are expressed from 0-100.  A higher score predicts a higher likelihood of support. See the Predictive Model Score Release Notes for more details.,1,1,,1,,
411,ts.tsmart_presidential_general_turnout_score,0,TargetSmart Presidential General Election Turnout Score,0%,Predicts the likelihood that an individual will vote in a specific type of Election year. Scores are expressed from 0-100.  A higher score predicts a higher likelihood that the individual will vote in a Presidential General Election. See the Predictive Model Score Release Notes for more details.,1,1,,1,,
412,ts.tsmart_midterm_general_turnout_score,0,TargetSmart Mid-Term General Election Turnout Score,0%,Predicts the likelihood that an individual will vote in a specific type of Election year. Scores are expressed from 0-100.  A higher score predicts a higher likelihood that the individual will vote in a Mid-Term General Election. See the Predictive Model Score Release Notes for more details.,1,1,,1,,
413,ts.tsmart_midterm_general_enthusiasm_score,0,TargetSmart Mid-Term General Enthusiasm Adjusted Turnout Score,0%,"Predicts an individual's likelihood to vote in the 2018 Mid-Term General Election, adjusted for cycle-specific enthusiasm patterns. The score is comprised of 67% of the Mid-Term General Turnout score and 33% of a separate Enthusiasm Model score, built from recent survey data asking respondents their level of interest in the 2018 Mid-Term General Election. Scores are expressed from 0-100. A higher score indicates a higher likelihood a person will vote in the 2018 General Election. See the Predictive Model Score Release Notes for more details.",1,1,,1,,
414,ts.tsmart_offyear_general_turnout_score,0,TargetSmart Off-Year General Election Turnout Score,0%,Predicts the likelihood that an individual will vote in a specific type of Election year. Scores are expressed from 0-100.  A higher score predicts a higher likelihood that the individual will vote in an Off-Year General Election. See the Predictive Model Score Release Notes for more details.,1,1,,1,,
415,ts.tsmart_presidential_primary_turnout_score,0,TargetSmart Presidential Primary Election Turnout Score,0%,Predicts the likelihood that an individual will vote in a specific type of Election year. Scores are expressed from 0-100.  A higher score predicts a higher likelihood that the individual will vote in a Presidential Primary Election. See the Predictive Model Score Release Notes for more details.,1,1,,1,,
416,ts.tsmart_non_presidential_primary_turnout_score,0,TargetSmart Non-Presidential Primary Election Turnout Score,0%,Predicts the likelihood that an individual will vote in a specific type of Election year. Scores are expressed from 0-100.  A higher score predicts a higher likelihood that the individual will vote in a Non-Presidential Primary Election. See the Predictive Model Score Release Notes for more details.,1,1,,1,,
440,ts.tsmart_urbanicity,392,TargetSmart Address - Urbanicity,0%,Synthetic variable that describes the development density of an area of the United States by measuring how rural or urban a block group is compared to all block groups across the nation.  This field is created using our TargetSmart Address fields (tsmart_address).,1,1,,1,,
61,vb.tsmart_latitude,7518,TargetSmart Address - Latitude,1%,Latitude of current Address,0,1,,,,
62,vb.tsmart_longitude,7518,TargetSmart Address - Longitude,1%,Longitude of current Address,0,1,,,,
417,ts.tsmart_local_voter_score,30586,TargetSmart Local Voter Model Score,4%,"Predicts the likelihood that an individual will vote in local, county, and municipal elections. Scores are expressed from 0-100. A higher score predicts a higher likelihood that the individual will vote. See the Predictive Model Score Release Notes for more details.",1,1,,1,,
421,ts.tsmart_children_present_score,30586,TargetSmart Children Present Score,4%,Predicts the likelihood that a voter lives in a household with children. Scores are expressed from 0-100. A higher score represents a higher probability that a person lives in a household with children. See the Predictive Model Score Release Notes for more details.,1,1,,1,,
422,ts.tsmart_college_graduate_score,30586,TargetSmart College Graduate Model Score,4%,Predicts the likelihood that an individual has attained a college-level or higher education. Scores are expressed from 0-100. A higher score represents a higher probability that a person's education level is college graduate or higher. See the Predictive Model Score Release Notes for more details.,1,1,,1,,
423,ts.tsmart_high_school_only_score,30586,TargetSmart High School Only Model Score,4%,Predicts the likelihood that an individual has not attained formal education beyond high school. Scores are expressed from 0-100. A higher score represents a higher probability that a person's education level is high school or lower. See the Predictive Model Score Release Notes for more details.,1,1,,1,,
424,ts.tsmart_income_rank_score,30586,TargetSmart Income Rank Score,4%,"Predicts the likelihood that an individual has an income over $100,000. Scores are expressed from 0-100. A higher score represents a higher probability that a person would self-report income greater than $100,000. See the Predictive Model Score Release Notes for more details.",1,1,,1,,
428,ts.tsmart_climate_change_score,30586,TargetSmart Climate Change Model Score,4%,Predicts the likelihood that an individual supports stricter laws and regulations to address climate change. Scores  are  expressed from 0-100. A higher score indicates a higher likelihood that person supports new laws or regulations to help protect from climate change. See the Predictive Model Score Release Notes for more details.,1,1,,1,,
438,ts.tsmart_ideology_enhanced_score,30586,TargetSmart Ideology Enhanced Model Score,4%,"Predicts the likelihood that an individual supports liberal ideology, enhanced with partisan inputs. Scores are expressed from 0-100. A value of 100 represents those most likely (very liberal) and 0 represents those least likely (very conservative). See the Predictive Model Score Release Notes for more details.",1,1,,1,could just use this instead of creating an aggregated value from the liberal vs conservative topics,
47,ts.tsmart_marriage_score,30586,TargetSmart Marriage Score,4%,Predicts the likelihood that an individual is married. Scores are expressed from 0-100. A higher score represents a higher probability that a person is married. See the Predictive Model Score Release Notes for more details.,0,1,,,,
44,vb.voterbase_age,33117,VoterBase Age,4%,"Indicates the individual's age, if available, and calculated from the VoterBase Date of Birth",1,1,,,,
