varnum,varname
1,key
2,fid
3,owner_name
4,is
5,first_name
6,fn_drop_comma
7,real_first
8,old_keyballs
9,owner_addre
10,owner_add_1
11,owner_add_2
12,owner_city
13,owner_state
14,owner_zip_co
15,sum_gis_acr
16,sum_contin
17,sum_fallow
18,sum_farmsi
19,sum_forest
20,sum_grazin
21,sum_wild_ha
22,sum_irriga
23,sum_non_qua
24,sum_total_a
25,sum_total_b
26,sum_total_l
27,sum_total_v
28,sum_easeme
29,ce_yn
30,voterbase_id
31,vb_tsmart_version_number
32,vb_tsmart_first_name
33,vb_tsmart_last_name
34,vb_tsmart_full_address
35,vb_tsmart_city
36,vb_tsmart_state
37,vb_tsmart_zip
38,vb_tsmart_zip4
39,vb_tsmart_street_name
40,vb_tsmart_address_usps_address_code
41,vb_tsmart_address_dpv_footnote
42,vb_voterbase_registration_status
43,vb_voterbase_dob
44,vb_voterbase_age
45,vb_voterbase_gender
46,vb_voterbase_race
47,vb_voterbase_marital_status
48,vb_vf_voter_status
49,vb_vf_party
50,vb_vf_race
51,vb_vf_cd
52,vb_vf_sd
53,vb_vf_hd
54,vb_vf_precinct_id
55,vb_vf_precinct_name
56,vb_tsmart_county_name
57,vb_tsmart_cd
58,vb_tsmart_sd
59,vb_tsmart_hd
60,vb_tsmart_precinct_name
61,vb_reg_latitude
62,vb_reg_longitude
63,vb_reg_census_id
64,vb_reg_dma
65,vb_reg_dma_name
66,vb_vf_absentee_status
67,vb_voterbase_general_votes
68,vb_voterbase_primary_votes
69,vb_voterbase_voter_score
70,vb_vf_reg_address_1
71,vb_recession_sensitivity_ranking
72,vb_recession_sensitivity_decile
73,vb_vehicle_value_decile
74,vb_personal_voice_social_networker_demi_decile
75,vb_professional_social_networker_demi_decile
76,vb_purely_social_networker_demi_decile
77,vb_social_networker_demi_decile
78,gsyn_synth_hh_sum_total_votes_cast_count
79,gsyn_synth_hh_sum_dem_primary_votes_cast_count
80,gsyn_synth_hh_sum_rep_primary_votes_cast_count
81,gsyn_synth_hh_sum_primary_votes_cast_count
82,gsyn_synth_hh_distinct_last_names_in_hh
83,gsyn_synth_hh_distinct_races_in_hh
84,gsyn_synth_hh_total_votes_per_person
85,gsyn_synth_hh_total_primary_votes_person
86,gsyn_synth_zip5_sum_zip5_democrat
87,gsyn_synth_zip5_sum_zip5_republican
88,gsyn_synth_zip5_pct_of_dems_per_reg_count
89,gsyn_synth_county_sum_fec_contribution_count_republican
90,gsyn_synth_county_sum_fec_contribution_count_democrat
91,enh_addr_size
92,enh_addr_code
93,enh_tsmart_enhanced_hh_size
94,enh_tsmart_enhanced_hh_code
95,enh_tsmart_enhanced_reg_code
96,enh_tsmart_enhanced_hh_num_males
