FID,StepWise_Estimate
3325,0.090102417
328070,0.039272216
314251,0.029911922
2222,0.004787773
2737,0.040736857
4062,0.020310172
5440,0.010820661
8080,0.046391362
8081,0.096716884
8078,0.023747025
10912,0.001719503
12309,0.043142337
12688,0.041126859
13371,0.039410212
14613,0.004805123
15241,0.105609035
18457,0.030801418
18657,0.022844803
24002,0.017668724
24003,0.014459091
24004,0.017239984
24560,0.042275339
24703,0.048844158
26865,0.018427668
28275,0.000897722
28305,0.019809484
28754,0.017775321
29349,0.023028742
30243,0.027239164
31335,0.035780623
34201,0.034509645
37797,0.204480313
38657,0.022830411
39089,0.012033701
39442,0.009270065
40061,0.006167321
41664,0.015428482
41822,0.011002454
42021,0.002992765
42354,0.00673745
42476,0.073848891
42962,0.000602654
43958,0.019088193
44139,0.002254092
45831,0.007817128
46111,0.007400585
46110,0.068978625
46766,0.01606053
46979,0.094749547
49709,0.001856838
49710,0.001789867
49711,0.001876833
48163,0.100303765
50773,0.010471079
51659,0.295148024
51875,0.042235169
53521,0.279392856
53637,0.006606471
54408,0.02142291
54473,0.054205445
55486,0.036138062
57047,0.027093651
57426,0.008496667
57697,0.017863874
58314,0.0088248
59489,0.019873646
61269,0.021781129
61270,0.019862177
61271,0.019899428
61489,0.044973737
67098,0.011064252
68303,0.01237076
68636,0.006357658
71229,0.000910855
70269,0.033652708
70267,0.011841046
70268,0.028799428
72431,0.001461086
73546,0.003118741
74587,0.01512973
74689,0.016306409
75751,0.00950343
76962,0.052542396
77061,0.01547153
77062,0.012212462
78458,0.005124379
79664,0.009037458
81467,0.007146511
83488,0.029827545
83735,0.00699697
88467,0.003001091
89583,0.021240328
91074,0.029317491
93784,0.020366647
94180,0.007328529
94389,0.006223519
94454,0.303227807
95147,0.157130962
95397,0.007432444
95466,0.042415391
96008,0.050346329
97793,0.002460871
105698,0.031758364
107281,0.00344539
109309,0.031783592
109449,0.01007096
111097,0.011495556
112618,0.001421461
112619,0.001517551
113117,0.011478892
113130,0.001592066
114050,0.013931676
114510,0.02123652
114897,0.004655671
116450,0.012273313
116519,0.008854419
118253,0.001860463
118783,0.03583646
118878,0.004246912
119520,0.041880912
120304,0.037391424
120549,0.008474314
121415,0.004070415
121480,0.091507006
123459,0.007669103
124537,0.005446457
126472,0.014183286
126771,0.112220701
127099,0.001309706
127123,0.03786811
129222,0.003534464
129769,0.005011308
130259,0.004732595
134379,0.014009257
134835,0.012233218
135691,0.009859191
138303,0.045843357
140130,0.079769685
140760,0.015261845
140980,0.005889865
142643,0.018038152
145396,0.006542352
145074,0.00903796
145075,0.008967418
145800,0.033954032
146994,0.00964036
146995,0.043755915
150096,0.007777274
150675,0.033293309
151413,0.01174191
152394,0.017350161
153346,0.008339753
153771,0.004817515
153831,0.016990218
154975,0.011676114
156348,0.023612722
156976,0.002204267
157759,0.006394001
